Symbol	Module
FXYD5	13
DBT	13
EPHX2	13
MRS2	13
OSTF1	13
APBB1	13
EDN3	13
ITLN1	13
ARTN	13
ACOT7	13
ABR	13
AGL	13
ACSM1	13
CES4A	13
LILRB2	14
PSTPIP1	14
TRIM22	14
TNFSF13B	14
GLIPR2	14
ITGAX	14
FCGR2A	14
PLEK	14
MYO1F	14
FGL2	14
ITGB2	14
ITGAM	14
FCGR3A	14
TYROBP	14
FCER1G	14
FPR1	14
MS4A7	14
NLRP3	14
SELL	14
KLRB1	14
CD53	14
HVCN1	14
LCP2	14
S100A9	14
PLEKHO2	14
S100A8	14
CLEC4E	14
CTSS	14
TAGAP	14
FLI1	14
GIMAP4	14
P2RY13	14
GMFG	14
PLCG2	14
SRGN	14
NCF2	14
GLIPR1	14
FCN1	14
GZMK	14
GZMA	14
RGS18	14
SLC15A3	14
SLC7A7	14
HCLS1	14
SLA	14
BIN2	14
S1PR4	14
VNN2	14
CD163	14
CASP1	14
EVI2A	14
FYB	14
EVI2B	14
LAPTM5	14
MNDA	14
CYTH4	14
GBP2	14
NCF4	14
APBB1IP	14
F13A1	14
GIMAP6	14
RCSD1	14
CYTIP	14
DPEP2	14
CD37	14
DENND1C	14
GIMAP5	14
ARHGAP25	14
CD14	14
ARHGAP9	14
ARHGDIB	14
CFP	14
ALOX5AP	14
CCL4	14
AMICA1	14
AQP9	14
ALOX5	14
ADAM8	14
TFRC	15
TNFAIP3	15
LILRB2	15
SLC11A1	15
TNFSF13B	15
GGT1	15
IL17RA	15
ITGAX	15
STAT3	15
IL6	15
IL21	15
TNFRSF1B	15
HLA-B	15
FCGR2A	15
HLA-A	15
SPP1	15
MX1	15
DDX58	15
STAT1	15
NCAM1	15
NFKBIL1	15
ITGB2	15
ITGAM	15
IL6R	15
FCGR3A	15
TYROBP	15
TREM1	15
FCGRT	15
FCGR3B	15
HLA-C	15
NLRP3	15
SELL	15
KLRB1	15
LCP2	15
CD1C	15
CD1B	15
LTB	15
TNFRSF9	15
PSMB9	15
TNFSF10	15
OSM	15
S100A9	15
CSF3	15
